nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Adriana Ventura,F,92 dias,0 dias,0 dias,75 reuniões,0 reuniões,0 reuniões,06/03/1969,"31565,42","458319,07",33763,-,"11201,41","6,17","2012,14","12078,93","3326,52","2525,67","-16,36","0,51","338,74",-,-,-,"47876,22","45155,54","50501,69","47484,47","47810,2","53606,39","43951,57","36862,01","38831,64",0,-
Benedita da Silva,F,45 dias,46 dias,1 dias,22 reuniões,17 reuniões,16 reuniões,26/04/1942,"278486,52","1114575,79",33763,-,"36708,62","32332,8","42904,22","38159,47","28769,87","17965,43","15365,95","9555,15","28558,54",-,-,-,"111448,24","111228,98","111228,98","111228,98","111354,55","111647,54","111647,54","111647,54","111647,54","617,84",-
Alê Silva,F,82 dias,6 dias,4 dias,54 reuniões,10 reuniões,10 reuniões,04/07/1974,256412,"757373,84",33763,-,"26068,76","54557,47","39369,73","38257,92","21249,25","15093,79","19228,94","15225,62","5513,3",-,-,-,"71163,83","70424,23","75507,41","71271,43","78795,1","74373,3","79377,41","79377,41","83691,96",0,-
Aline Gurgel,F,78 dias,11 dias,3 dias,16 reuniões,7 reuniões,27 reuniões,25/11/1980,"424332,48","1109475,15",33763,-,"55902,66","41953,93","74755,05","40253,23","10460,16","40552,36","44238,07","50000,23",23300,-,-,-,"111160,99","111429,2","111429,2","111429,2","111429,2","111429,2","111429,2","109688,29","108621,49",0,-
Aline Sleutjes,F,81 dias,11 dias,0 dias,25 reuniões,7 reuniões,5 reuniões,26/07/1979,"260137,48","1047581,56",33763,-,"37246,93","44589,79","62024,69","28504,61","25909,67","20829,47","10742,51","4466,72","8102,19",-,-,-,"107823,39","108054,31",104407,"102862,93","105903,3","107141,12","104241,48","105514,93","93070,21","130,01",-
Angela Amin,F,88 dias,4 dias,0 dias,61 reuniões,1 reuniões,0 reuniões,20/12/1953,"331056,32","1087642,74",33763,-,"44149,4","54673,99","45917,82","50177,8","36925,47","34965,84","19369,26","7069,38","5386,77",-,-,-,"109010,6","110962,23","109111,95","109111,95","108914,61","107061,71","107061,71","107061,71","110877,26",0,-
Bia Kicis,F,89 dias,3 dias,0 dias,56 reuniões,3 reuniões,4 reuniões,19/09/1961,"215925,63","1114049,3",33763,-,"25724,28","26105,29","29874,33","27799,7","15473,15","16116,39","14243,78","13146,49","21381,74",-,-,-,"111271,47","111271,47","111271,47","111271,47","111538,39","111538,39","111538,39","111538,39","111538,39","869,99",-
Áurea Carolina,F,75 dias,17 dias,0 dias,22 reuniões,5 reuniões,5 reuniões,20/11/1983,"297321,47","1106538,1",33763,-,"17211,99","32300,99","47628,8","50919,99","36660,42","25545,07","22852,05","27143,68","22010,38",-,-,-,"110320,03","111502,08","111502,08","111502,08","111499,25","111417,08","111417,08","111417,08","105478,47",0,-
Alice Portugal,F,91 dias,0 dias,1 dias,70 reuniões,0 reuniões,28 reuniões,16/05/1959,"379369,73","1103738,12",33763,-,"35974,1","45630,28","44643,22","30967,04","33926,95","26133,78","37427,88","27482,05","32292,34",-,-,-,"110762,68","110837,35","110137,04","110137,04","110137,04","110137,04","110131,96","111046,92","111046,92","48,23",-
Bruna Furlan,F,39 dias,0 dias,4 dias,0 reuniões,0 reuniões,0 reuniões,28/04/1983,"75896,65","986727,25",33763,-,"15234,17","17325,26",-,"17939,4",-,-,"283,61","5769,8","6302,2",-,-,-,"103337,22","104665,63","89553,78","85126,66","105191,41","111416,96","104020,17","87826,95","93579,66","230,06",-
