nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Fernando Coelho Filho,M,81 dias,5 dias,6 dias,6 reuniões,4 reuniões,39 reuniões,28/02/1984,"265.195,17","1.087.816,23","33.763,00",-,"26.191,67","46.599,60","22.991,65","42.640,35","38.141,86","34.943,44","7.902,03","1.389,61","11.490,58",-,-,-,"106.461,21","106.461,21","107.548,75","106.461,21","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15","0,00",-
Fred Costa,M,83 dias,9 dias,0 dias,14 reuniões,1 reuniões,5 reuniões,12/07/1977,"284.352,33","1.077.826,83","33.763,00",-,"29.479,43","41.701,41","44.266,74","55.095,45","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52",-,-,-,"108.567,01","109.305,97","109.563,08","109.305,97","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38","2.518,71",-
Fernando Monteiro,M,87 dias,5 dias,0 dias,17 reuniões,4 reuniões,3 reuniões,17/09/1976,"313.976,39","1.095.114,70","33.763,00",-,"36.756,35","50.815,63","35.207,06","46.090,78","35.106,58","33.522,18","12.348,74","7.355,49","22.923,02",-,-,-,"111.462,42","111.451,57","111.665,62","108.833,71","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43","683,97",-
Flaviano Melo,M,82 dias,10 dias,0 dias,3 reuniões,0 reuniões,1 reuniões,17/11/1949,"437.655,10","1.104.480,65","33.763,00",-,"37.155,36","51.227,13","79.405,70","29.713,90","25.480,53","38.048,40","39.592,10","55.425,57","27.323,73",-,-,-,"107.983,89","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56","20.000,00",-
Franco Cartafina,M,86 dias,3 dias,3 dias,44 reuniões,4 reuniões,15 reuniões,03/11/1986,"317.134,14","1.112.857,76","33.763,00",-,"33.009,58","43.304,17","52.088,32","45.119,68","34.699,31","22.247,15","51.692,11","4.820,12","2.088,60",-,-,-,"110.962,06","110.962,06","111.166,17","110.962,06","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67","0,00",-
Filipe Barros,M,82 dias,10 dias,0 dias,13 reuniões,3 reuniões,10 reuniões,29/05/1991,"280.703,15","938.905,52","33.763,00",-,"31.018,40","49.744,00","50.641,59","46.765,21","43.365,67","18.271,75","239,65","40,19","487,13",-,-,-,"98.842,46","98.853,61","105.314,69","101.434,99","105.934,61","105.601,33","88.221,20","71.613,40","65.419,80","594,79",-
Fernando Rodolfo,M,83 dias,4 dias,5 dias,17 reuniões,3 reuniões,51 reuniões,17/11/1983,"295.230,86","1.015.741,66","33.763,00",-,"34.442,45","46.954,27","42.253,99","61.790,50","30.175,92","26.376,10","10.140,69","7.883,19","815,00",-,-,-,"108.472,48","109.833,05","110.607,73","104.726,42","107.797,77","106.334,87","77.927,20","90.812,99","88.404,25","0,00",-
Flávio Nogueira,M,91 dias,1 dias,0 dias,39 reuniões,0 reuniões,4 reuniões,27/02/1953,"393.018,11","1.106.884,69","33.763,00",-,"41.835,51","39.604,13","42.494,03","37.048,37","47.068,00","42.082,62","36.727,61","36.484,39","31.344,18",-,-,-,"110.937,69","111.074,66","111.467,18","110.962,76","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63","0,00",-
Francisco Jr.,M,87 dias,3 dias,2 dias,25 reuniões,2 reuniões,6 reuniões,15/03/1969,"309.142,86","1.076.485,10","33.763,00",-,"30.616,27","50.032,21","38.718,63","33.547,10","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21",-,-,-,"110.440,58","110.440,58","108.630,41","110.440,58","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56","20.527,94",-
Frei Anastacio Ribeiro,M,86 dias,6 dias,0 dias,30 reuniões,4 reuniões,14 reuniões,03/03/1944,"361.093,35","1.106.146,52","33.763,00",-,"41.699,11","53.527,13","53.135,08","42.212,73","32.573,14","21.560,81","17.788,85","19.494,29","37.332,36",-,-,-,"110.889,19","110.889,19","109.560,78","110.313,55","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19","957,07",-
